stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,location_monitoring_station,Air Quality Index,Green Zones
193,30-04-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,99,"Head Office, Bamunimaidan, Guwahati",10,1
193,30-06-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,10,77,"Head Office, Bamunimaidan, Guwahati",10,1
193,31-07-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,10,64,"Head Office, Bamunimaidan, Guwahati",7,1
193,31-08-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,11,84,"Head Office, Bamunimaidan, Guwahati",9,1
193,30-09-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,12,78,"Head Office, Bamunimaidan, Guwahati",10,1
193,30-10-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,13,87,"Head Office, Bamunimaidan, Guwahati",11,1
193,30-11-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,83,"Head Office, Bamunimaidan, Guwahati",11,1
193,31-12-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",9,20,124,"Head Office, Bamunimaidan, Guwahati",13,1
193,31-03-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",11,18,224,"Head Office, Bamunimaidan, Guwahati",16,1
519,31-03-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",11,18,228,"ITI Building, Gopinath Nagar, Guwahati",16,1
519,30-04-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,111,"ITI Building, Gopinath Nagar, Guwahati",10,1
519,30-06-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,11,67,"ITI Building, Gopinath Nagar, Guwahati",9,1
519,31-07-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",4,9,53,"ITI Building, Gopinath Nagar, Guwahati",6,1
519,31-08-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,10,65,"ITI Building, Gopinath Nagar, Guwahati",7,1
519,30-09-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,12,79,"ITI Building, Gopinath Nagar, Guwahati",9,1
519,30-10-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,81,"ITI Building, Gopinath Nagar, Guwahati",9,1
519,30-11-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,86,"ITI Building, Gopinath Nagar, Guwahati",10,1
519,31-12-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",10,24,106,"ITI Building, Gopinath Nagar, Guwahati",14,1
520,31-08-2015,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,28,"Barpara Office Building, Bongaigaon",10,1
520,30-09-2015,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,51,"Barpara Office Building, Bongaigaon",11,1
520,30-11-2015,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,15,71,"Barpara Office Building, Bongaigaon",9,1
536,30-04-2015,Assam,Tezpur,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,15,162,"Tezpur Office Building, Tezpur",11,1
